hidden_size,activation,epochs,train_accuracy,test_accuracy
NA,logistic,0,0.7638888888888888,0.8020833333333334
1,tanh,500,0.7569444444444444,0.7604166666666666
1,tanh,1000,0.7569444444444444,0.7604166666666666
1,tanh,1500,0.7569444444444444,0.7604166666666666
1,tanh,2000,0.7569444444444444,0.7604166666666666
2,tanh,500,0.7708333333333334,0.7552083333333334
2,tanh,1000,0.7760416666666666,0.75
2,tanh,1500,0.8038194444444444,0.7760416666666666
2,tanh,2000,0.7673611111111112,0.7604166666666666
3,tanh,500,0.7899305555555556,0.765625
3,tanh,1000,0.8072916666666666,0.7395833333333334
3,tanh,1500,0.8211805555555556,0.796875
3,tanh,2000,0.8246527777777778,0.796875
4,tanh,500,0.8125,0.75
4,tanh,1000,0.8177083333333334,0.7447916666666666
4,tanh,1500,0.828125,0.7395833333333334
4,tanh,2000,0.8038194444444444,0.78125
5,tanh,500,0.8246527777777778,0.734375
5,tanh,1000,0.8107638888888888,0.7552083333333334
5,tanh,1500,0.7916666666666666,0.6822916666666666
5,tanh,2000,0.8350694444444444,0.75
6,tanh,500,0.8072916666666666,0.7447916666666666
6,tanh,1000,0.84375,0.7447916666666666
6,tanh,1500,0.8038194444444444,0.7760416666666666
6,tanh,2000,0.859375,0.7291666666666666
1,sigmoid,500,0.75,0.7760416666666666
1,sigmoid,1000,0.75,0.7760416666666666
1,sigmoid,1500,0.75,0.7760416666666666
1,sigmoid,2000,0.75,0.7760416666666666
2,sigmoid,500,0.7899305555555556,0.75
2,sigmoid,1000,0.78125,0.765625
2,sigmoid,1500,0.7829861111111112,0.7604166666666666
2,sigmoid,2000,0.7829861111111112,0.7552083333333334
3,sigmoid,500,0.7881944444444444,0.78125
3,sigmoid,1000,0.7881944444444444,0.7916666666666666
3,sigmoid,1500,0.8003472222222222,0.78125
3,sigmoid,2000,0.7986111111111112,0.7760416666666666
4,sigmoid,500,0.7881944444444444,0.7864583333333334
4,sigmoid,1000,0.7899305555555556,0.78125
4,sigmoid,1500,0.7951388888888888,0.7708333333333334
4,sigmoid,2000,0.8003472222222222,0.7760416666666666
5,sigmoid,500,0.7881944444444444,0.796875
5,sigmoid,1000,0.8090277777777778,0.7552083333333334
5,sigmoid,1500,0.796875,0.78125
5,sigmoid,2000,0.7986111111111112,0.7864583333333334
6,sigmoid,500,0.8159722222222222,0.7552083333333334
6,sigmoid,1000,0.8159722222222222,0.75
6,sigmoid,1500,0.8107638888888888,0.7239583333333334
6,sigmoid,2000,0.8229166666666666,0.7395833333333334
1,relu,500,0.6423611111111112,0.6770833333333334
1,relu,1000,0.6423611111111112,0.6770833333333334
1,relu,1500,0.6979166666666666,0.6770833333333334
1,relu,2000,0.6423611111111112,0.6770833333333334
2,relu,500,0.6423611111111112,0.6770833333333334
2,relu,1000,0.7118055555555556,0.7395833333333334
2,relu,1500,0.7482638888888888,0.7760416666666666
2,relu,2000,0.6423611111111112,0.6770833333333334
3,relu,500,0.7743055555555556,0.7447916666666666
3,relu,1000,0.7743055555555556,0.75
3,relu,1500,0.7673611111111112,0.7916666666666666
3,relu,2000,0.7638888888888888,0.7447916666666666
4,relu,500,0.765625,0.7760416666666666
4,relu,1000,0.765625,0.75
4,relu,1500,0.7777777777777778,0.703125
4,relu,2000,0.7795138888888888,0.78125
5,relu,500,0.7569444444444444,0.7447916666666666
5,relu,1000,0.7847222222222222,0.8072916666666666
5,relu,1500,0.7847222222222222,0.75
5,relu,2000,0.7690972222222222,0.7447916666666666
6,relu,500,0.78125,0.7708333333333334
6,relu,1000,0.796875,0.7760416666666666
6,relu,1500,0.7673611111111112,0.7604166666666666
6,relu,2000,0.7638888888888888,0.7864583333333334
